카테고리,이름,구독자 수,조회수,영상 수
[음악/댄스/가수],BLACKPINK,6410만,190억1809만,371
[음악/댄스/가수],HYBE LABELS,6040만,187억3584만,654
[음악/댄스/가수],BANGTANTV,5650만,122억1297만,"1,579"
[음악/댄스/가수],SMTOWN,2850만,218억9538만,"3,729"
[키즈/어린이],Boram Tube Vlog [보람튜브 브이로그],2650만,110억5288만,223
[음악/댄스/가수],1MILLION Dance Studio,2420만,66억9690만,"2,903"
[음악/댄스/가수],1theK (원더케이),2320만,206억0665만,"14,986"
[음악/댄스/가수],JYP Entertainment,2160만,137억3356만,"1,329"
[미분류],Coldplay,1930만,127억7603만,279
[음악/댄스/가수],Mnet K-POP,1840만,129억5949만,"25,425"
[음악/댄스/가수],JFlaMusic,1720만,34억2183만,279
[TV/방송],KBS WORLD TV,1660만,123억6332만,"52,390"
[음악/댄스/가수],officialpsy,1500만,86억2675만,90
[음식/요리/레시피],Jane ASMR 제인,1420만,49억1681만,"1,190"
[음악/댄스/가수],BIGBANG,1380만,66억7998만,773
[음악/댄스/가수],TWICE,1150만,22억0692만,592
[키즈/어린이],Nao FunFun,1080만,390만,34
[음악/댄스/가수],Stone Music Entertainment,998만,78억6550만,"7,922"
[키즈/어린이],DuDuPopTOY,984만,43억7225만,"1,745"
[음식/요리/레시피],Hongyu ASMR 홍유,976만,26억9537만,386
[키즈/어린이],핑크퐁 (인기 동요・동화),945만,57억1186만,"2,227"
[TV/방송],MBCkpop,942만,73억6382만,"40,660"
[키즈/어린이],서은이야기[SeoeunStory],937만,39억9778만,"1,001"
[키즈/어린이],Larva TUBA,932만,40억5114만,"2,866"
[키즈/어린이],Toymong tv 토이몽TV,927만,38억2438만,"1,833"
[미분류],The Late Show with Stephen Colbert,860만,78억2929만,"8,353"
[뉴스/정치/사회],MBCentertainment,838만,143억2388만,"85,431"
[음악/댄스/가수],Mnet Official,833만,90억5987만,"18,130"
[음악/댄스/가수],iKON,831만,20억9217만,468
[음악/댄스/가수],EXO,828만,4억6530만,201
[미분류],WIRED,812만,26억1017만,"3,221"
[미분류],Nintendo,802만,27억2712만,"5,143"
[미분류],BBC Radio 1,759만,31억9335만,"4,414"
[TV/방송],M2,749만,55억3113만,"14,280"
[키즈/어린이],MariAndKids,748만,22억8862만,808
[음식/요리/레시피],[햄지]Hamzy,745만,21억4870만,331
[음악/댄스/가수],TOMORROW X TOGETHER OFFICIAL,735만,4억4391만,741
[키즈/어린이],SonicToy소닉토이,717만,29억3478만,164
[음악/댄스/가수],Stray Kids,695만,10억1079만,464
[음식/요리/레시피],Travel Thirsty,688만,28억9776만,676
[뉴스/정치/사회],JTBC Entertainment,684만,97억1550만,"63,970"
[해외],Serie A,683만,23억8736만,"20,486"
[음악/댄스/가수],SEVENTEEN,681만,21억2033만,871
[음악/댄스/가수],Sungha Jung,673만,18억7139만,"1,263"
[음악/댄스/가수],이지금 [IU Official],663만,9억2633만,125
[음식/요리/레시피],문복희 Eat with Boki,648만,14억4812만,424
[음악/댄스/가수],ALL THE K-POP,638만,38억8505만,"19,505"
[음식/요리/레시피],쏘영 Ssoyoung,636만,9억3311만,566
[음악/댄스/가수],YG ENTERTAINMENT,635만,16억3182만,389
[TV/방송],KBS Kpop,626만,47억1037만,"29,013"
[음악/댄스/가수],GOT7,604만,7억5427만,579
[음악/댄스/가수],MAMAMOO,602만,16억1405만,600
[패션/미용],PONY Syndrome,586만,3억5479만,188
[TV/방송],스브스케이팝 / SBS KPOP,582만,38억5363만,"25,785"
[회사/오피셜],Samsung,578만,10억1211만,"1,554"
[TV/방송],tvN DRAMA,577만,54억9406만,"34,868"
[TV/방송],SBS Entertainment,572만,66억6475만,"216,725"
[키즈/어린이],스위트티비 SweetTV,560만,26억5221만,503
[음악/댄스/가수],ITZY,554만,9억6095만,421
[TV/방송],SBS Drama,548만,57억5087만,"340,878"
[미분류],PSG - Paris Saint-Germain,542만,5억6646만,"4,067"
[키즈/어린이],[장난감티비]TOYTV,542만,26억3597만,"1,466"
[키즈/어린이],미니특공대TV,537만,30억1718만,"1,105"
[음악/댄스/가수],2NE1,530만,19억4708만,321
[키즈/어린이],콩순이 • 시크릿 쥬쥬 [Kongsuni • Secret Jouju],516만,44억8253만,"1,236"
[BJ/인물/연예인],[Awesome Haeun]어썸하은,515만,7억9726만,487
[음식/요리/레시피],백종원의 요리비책 Paik's Cuisine,512만,5억2272만,334
[키즈/어린이],ToyMart TV,495만,21억4853만,651
[음식/요리/레시피],야미보이 Yummyboy,487만,17억2245만,849
[음악/댄스/가수],starshipTV,479만,27억6566만,"1,955"
[키즈/어린이],베이비버스 -인기 동요・동화,474만,31억6887만,"1,282"
[음악/댄스/가수],BT21,460만,3억6248만,193
[뉴스/정치/사회],SBS NOW / SBS 공식 채널,457만,45억3341만,"19,841"
[키즈/어린이],TOY GUMA,457만,15억1424만,306
[TV/방송],KBS Entertain,447만,70억4934만,"99,926"
[음식/요리/레시피],떵개떵,447만,25억0486만,"4,330"
[음악/댄스/가수],ASTRO 아스트로,441만,4억1248만,433
[키즈/어린이],뽀로로(Pororo),437만,58억7067만,"3,595"
[음악/댄스/가수],Red Velvet,434만,5억9256만,139
[TV/방송],MBCdrama,433만,48억9883만,"53,924"
[음식/요리/레시피],하루한끼 one meal a day,431만,4억1059만,162
[음악/댄스/가수],TREASURE (트레저),427만,8억2923만,253
[음식/요리/레시피],푸메Fume,424만,8억5634만,463
[키즈/어린이],슈슈토이 Shushu ToysReview,420만,15억5498만,581
[TV/방송],채널 NCT DAILY,419만,7억2412만,467
[음악/댄스/가수],Raon Lee,419만,9억1695만,295
[미분류],EA SPORTS FIFA,418만,7억9340만,792
[키즈/어린이],With Kids Playground [위드키즈 놀이터],416만,15억6857만,399
[음식/요리/레시피],Cooking tree 쿠킹트리,416만,3억7857만,"1,133"
[음식/요리/레시피],[Dorothy]도로시,415만,9억8659만,905
[TV/방송],JTBC Drama,412만,42억0979만,"22,560"
[애완/반려동물],SBS TV동물농장x애니멀봐,412만,37억4911만,"3,002"
[음식/요리/레시피],tzuyang쯔양,411만,5억0727만,236
[음악/댄스/가수],NCT,410만,2억7062만,218
[BJ/인물/연예인],영국남자 Korean Englishman,410만,13억3518만,432
[음식/요리/레시피],까니짱 [ G-NI ],408만,10억3471만,482
[키즈/어린이],로미유 스토리[Romiyu Story],408만,10억6621만,433
[음악/댄스/가수],NCT DREAM,387만,3억7615만,229
[BJ/인물/연예인],허팝Heopop,381만,31억3892만,"1,847"
[취미/라이프],JaeYeol ASMR 재열,380만,10억1154만,970
[애완/반려동물],크림히어로즈,380만,13억7477만,940
[BJ/인물/연예인],워크맨-Workman,379만,6억8319만,141
[BJ/인물/연예인],waveya 2011,373만,13억4628만,702
[키즈/어린이],Lime Tube[라임튜브],373만,25억9542만,"1,723"
[음악/댄스/가수],WINNER,373만,11억7126만,428
[키즈/어린이],CoCosToy 꼬꼬스토이,365만,20억5198만,780
[음악/댄스/가수],백현 Baekhyun,362만,4946만,20
[키즈/어린이],Milana FamilyShow[EN],362만,9억7647만,185
[음악/댄스/가수],NCT 127,357만,3억0391만,185
[BJ/인물/연예인],ARTBEAT,356만,8억7390만,"1,069"
[TV/방송],TV-People,350만,39억1407만,"17,719"
[TV/방송],채널 십오야,349만,6억5063만,451
[TV/방송],KBS Drama,347만,42억6111만,"114,095"
[회사/오피셜],Billboard,336만,11억2601만,"6,654"
[키즈/어린이],리월드RIWORLD,333만,13억0019만,179
[취미/라이프],drawholic,332만,3억6252만,348
[키즈/어린이],제이제이 튜브 [JJ Tube],329만,20억6028만,497
[음악/댄스/가수],KARD,328만,5억9647만,312
[TV/방송],솔라시도 solarsido,328만,2억0128만,246
[키즈/어린이],EBS 키즈,328만,40억6587만,"18,883"
[TV/방송],tvN,326만,46억7755만,"59,409"
[TV/방송],딩고 뮤직 / dingo music,323만,11억6896만,"1,526"
[음악/댄스/가수],(G)I-DLE (여자)아이들 (Official YouTube Channel),321만,9억5419만,199
[키즈/어린이],MariAndToys,316만,5억6535만,188
[키즈/어린이],럭키강이 LuckyKang i,311만,13억2876만,"1,212"
[키즈/어린이],키즈팡TV,309만,19억2463만,"1,833"
[음악/댄스/가수],imlisarhee,308만,4억2318만,547
[스포츠/운동],피지컬갤러리,306만,4억8472만,592
